CustomerID,Lookalikes
C0001,"[['C0069', 0.9474257972151854], ['C0127', 0.8739694001028301], ['C0190', 0.8460722354249515]]"
C0002,"[['C0133', 0.9681437939265284], ['C0062', 0.8997910818956721], ['C0134', 0.8968440792176382]]"
C0003,"[['C0166', 0.9944603992451134], ['C0031', 0.9746433592752327], ['C0158', 0.9376095644412319]]"
C0004,"[['C0090', 0.9178464884605366], ['C0122', 0.9118789079040195], ['C0017', 0.9094137328867413]]"
C0005,"[['C0197', 0.9996873537675999], ['C0007', 0.9906572143006201], ['C0140', 0.8991908631524648]]"
C0006,"[['C0135', 0.9131662546767203], ['C0187', 0.7746920876470779], ['C0185', 0.7290633873719096]]"
C0007,"[['C0005', 0.9906572143006201], ['C0197', 0.9869375698842499], ['C0120', 0.8957528613441336]]"
C0008,"[['C0162', 0.9354260196136521], ['C0154', 0.8903984349746906], ['C0113', 0.8845529363450987]]"
C0009,"[['C0198', 0.920168728981332], ['C0029', 0.9196461287569269], ['C0033', 0.8764337474094815]]"
C0010,"[['C0061', 0.9181948166116802], ['C0176', 0.9141140947390333], ['C0042', 0.9120596258448855]]"
C0011,"[['C0126', 0.9539127794003], ['C0171', 0.9061044912926547], ['C0193', 0.8859277991023892]]"
C0012,"[['C0065', 0.9732107193964651], ['C0136', 0.931281573213204], ['C0104', 0.9274639598748136]]"
C0013,"[['C0067', 0.9489699202294121], ['C0105', 0.9401951306112102], ['C0102', 0.8468491088707529]]"
C0014,"[['C0151', 0.9999087464608989], ['C0097', 0.9996715010128533], ['C0060', 0.9994465585577332]]"
C0015,"[['C0123', 0.9988694847917271], ['C0014', 0.9573581146035457], ['C0151', 0.9572574682152036]]"
C0016,"[['C0183', 0.9999646152266838], ['C0107', 0.9961432432416787], ['C0105', 0.8878019025387205]]"
C0017,"[['C0075', 0.9547625456376855], ['C0090', 0.9410347298753767], ['C0194', 0.9295087951122939]]"
C0018,"[['C0023', 0.8796611833380044], ['C0168', 0.8689860208984774], ['C0068', 0.7789484717048029]]"
C0019,"[['C0191', 0.9549716093424133], ['C0174', 0.8707863705075659], ['C0070', 0.8459063597422131]]"
C0020,"[['C0130', 0.9987465475702518], ['C0095', 0.9518201439712922], ['C0198', 0.9470386937374203]]"
